task,target,model,predictors,n,positives,prevalence,evaluation,auroc,average_precision,brier_score,calibration,r2,mae,rmse
binary,progressed_5deg,cobb_only,baseline_cobb_angle_deg,160,91.0,0.56875,stratified_5fold_cv,0.7440675266762223,0.781315108878934,0.20348225903921566,"[{'bin': '0.0-0.2', 'n': 2, 'mean_prediction': 0.18483802139078123, 'observed_rate': 0.5}, {'bin': '0.2-0.4', 'n': 37, 'mean_prediction': 0.29560411797636754, 'observed_rate': 0.32432432432432434}, {'bin': '0.4-0.6', 'n': 49, 'mean_prediction': 0.5100754638323354, 'observed_rate': 0.4489795918367347}, {'bin': '0.6-0.8', 'n': 48, 'mean_prediction': 0.7045882549034314, 'observed_rate': 0.75}, {'bin': '0.8-1.0', 'n': 24, 'mean_prediction': 0.8609648899132315, 'observed_rate': 0.8333333333333334}]",,,
binary,progressed_5deg,maturity_only,"baseline_age_years,baseline_risser_stage,sex_female",160,91.0,0.56875,stratified_5fold_cv,0.6602962255136168,0.7148875825862475,0.23299381654871287,"[{'bin': '0.0-0.2', 'n': 2, 'mean_prediction': 0.1798362140072604, 'observed_rate': 0.0}, {'bin': '0.2-0.4', 'n': 22, 'mean_prediction': 0.3198284048915516, 'observed_rate': 0.4090909090909091}, {'bin': '0.4-0.6', 'n': 57, 'mean_prediction': 0.5092328603635923, 'observed_rate': 0.45614035087719296}, {'bin': '0.6-0.8', 'n': 75, 'mean_prediction': 0.6860996698995753, 'observed_rate': 0.72}, {'bin': '0.8-1.0', 'n': 4, 'mean_prediction': 0.8143152363007566, 'observed_rate': 0.5}]",,,
binary,progressed_5deg,geometry_only,"baseline_tortuosity,baseline_lateral_span_norm,baseline_max_chord_deviation_norm,baseline_projected_rotation_total_deg,baseline_projected_curvature_energy,baseline_cobb_endplate_envelope_deg",160,91.0,0.56875,stratified_5fold_cv,0.7899347029781812,0.8254934157232079,0.18522748302361675,"[{'bin': '0.0-0.2', 'n': 15, 'mean_prediction': 0.1285458140066729, 'observed_rate': 0.2}, {'bin': '0.2-0.4', 'n': 30, 'mean_prediction': 0.2945352935529987, 'observed_rate': 0.26666666666666666}, {'bin': '0.4-0.6', 'n': 43, 'mean_prediction': 0.49730259890404044, 'observed_rate': 0.5348837209302325}, {'bin': '0.6-0.8', 'n': 31, 'mean_prediction': 0.7126189487150316, 'observed_rate': 0.6774193548387096}, {'bin': '0.8-1.0', 'n': 41, 'mean_prediction': 0.9012467980871814, 'observed_rate': 0.8780487804878049}]",,,
binary,progressed_5deg,combined_theory,"baseline_cobb_angle_deg,baseline_age_years,baseline_risser_stage,sex_female,baseline_tortuosity,baseline_lateral_span_norm,baseline_max_chord_deviation_norm,baseline_projected_rotation_total_deg,baseline_projected_curvature_energy,baseline_cobb_endplate_envelope_deg",160,91.0,0.56875,stratified_5fold_cv,0.7748049052396878,0.8170540683620467,0.19341897895792032,"[{'bin': '0.0-0.2', 'n': 20, 'mean_prediction': 0.11964686281545223, 'observed_rate': 0.2}, {'bin': '0.2-0.4', 'n': 31, 'mean_prediction': 0.30849379599760457, 'observed_rate': 0.3870967741935484}, {'bin': '0.4-0.6', 'n': 28, 'mean_prediction': 0.4990732303345453, 'observed_rate': 0.5357142857142857}, {'bin': '0.6-0.8', 'n': 37, 'mean_prediction': 0.703093670111447, 'observed_rate': 0.5405405405405406}, {'bin': '0.8-1.0', 'n': 44, 'mean_prediction': 0.9054891532877846, 'observed_rate': 0.9090909090909091}]",,,
binary,progressed_6deg,cobb_only,baseline_cobb_angle_deg,160,80.0,0.5,stratified_5fold_cv,0.73859375,0.7385286483695572,0.207488905319482,"[{'bin': '0.0-0.2', 'n': 8, 'mean_prediction': 0.1680267546162766, 'observed_rate': 0.375}, {'bin': '0.2-0.4', 'n': 47, 'mean_prediction': 0.2955088348077046, 'observed_rate': 0.2978723404255319}, {'bin': '0.4-0.6', 'n': 50, 'mean_prediction': 0.49525542255959715, 'observed_rate': 0.42}, {'bin': '0.6-0.8', 'n': 41, 'mean_prediction': 0.6920359554242668, 'observed_rate': 0.7317073170731707}, {'bin': '0.8-1.0', 'n': 14, 'mean_prediction': 0.8341586284028669, 'observed_rate': 0.8571428571428571}]",,,
binary,progressed_6deg,maturity_only,"baseline_age_years,baseline_risser_stage,sex_female",160,80.0,0.5,stratified_5fold_cv,0.6165625,0.6227748079469736,0.24189153619331288,"[{'bin': '0.0-0.2', 'n': 2, 'mean_prediction': 0.18391344613946464, 'observed_rate': 0.0}, {'bin': '0.2-0.4', 'n': 31, 'mean_prediction': 0.3107390843770428, 'observed_rate': 0.4838709677419355}, {'bin': '0.4-0.6', 'n': 83, 'mean_prediction': 0.4987847219774354, 'observed_rate': 0.4457831325301205}, {'bin': '0.6-0.8', 'n': 44, 'mean_prediction': 0.650650374080946, 'observed_rate': 0.6363636363636364}]",,,
binary,progressed_6deg,geometry_only,"baseline_tortuosity,baseline_lateral_span_norm,baseline_max_chord_deviation_norm,baseline_projected_rotation_total_deg,baseline_projected_curvature_energy,baseline_cobb_endplate_envelope_deg",160,80.0,0.5,stratified_5fold_cv,0.7871875,0.7949427467295498,0.18915718203939397,"[{'bin': '0.0-0.2', 'n': 20, 'mean_prediction': 0.12280098996995996, 'observed_rate': 0.2}, {'bin': '0.2-0.4', 'n': 43, 'mean_prediction': 0.29273009240314135, 'observed_rate': 0.27906976744186046}, {'bin': '0.4-0.6', 'n': 37, 'mean_prediction': 0.48533000443295415, 'observed_rate': 0.4864864864864865}, {'bin': '0.6-0.8', 'n': 37, 'mean_prediction': 0.7180834944155622, 'observed_rate': 0.7027027027027027}, {'bin': '0.8-1.0', 'n': 23, 'mean_prediction': 0.892699308792395, 'observed_rate': 0.8695652173913043}]",,,
binary,progressed_6deg,combined_theory,"baseline_cobb_angle_deg,baseline_age_years,baseline_risser_stage,sex_female,baseline_tortuosity,baseline_lateral_span_norm,baseline_max_chord_deviation_norm,baseline_projected_rotation_total_deg,baseline_projected_curvature_energy,baseline_cobb_endplate_envelope_deg",160,80.0,0.5,stratified_5fold_cv,0.7675,0.7765310239292249,0.1980301357348188,"[{'bin': '0.0-0.2', 'n': 26, 'mean_prediction': 0.12893116621595557, 'observed_rate': 0.19230769230769232}, {'bin': '0.2-0.4', 'n': 41, 'mean_prediction': 0.29215289594496335, 'observed_rate': 0.2926829268292683}, {'bin': '0.4-0.6', 'n': 25, 'mean_prediction': 0.5005077878293013, 'observed_rate': 0.52}, {'bin': '0.6-0.8', 'n': 39, 'mean_prediction': 0.6981280854035646, 'observed_rate': 0.6153846153846154}, {'bin': '0.8-1.0', 'n': 29, 'mean_prediction': 0.8845354817099211, 'observed_rate': 0.896551724137931}]",,,
binary,crossed_40deg,cobb_only,baseline_cobb_angle_deg,160,5.0,0.03125,stratified_5fold_cv,0.9703225806451613,0.6060606060606062,0.020701254232405854,"[{'bin': '0.0-0.2', 'n': 155, 'mean_prediction': 0.023499784679886226, 'observed_rate': 0.01935483870967742}, {'bin': '0.2-0.4', 'n': 3, 'mean_prediction': 0.2447104368599801, 'observed_rate': 0.0}, {'bin': '0.4-0.6', 'n': 2, 'mean_prediction': 0.4432829723536731, 'observed_rate': 1.0}]",,,
binary,crossed_40deg,maturity_only,"baseline_age_years,baseline_risser_stage,sex_female",160,5.0,0.03125,stratified_5fold_cv,0.7341935483870968,0.1004812030075188,0.029931196851420837,"[{'bin': '0.0-0.2', 'n': 159, 'mean_prediction': 0.029905961480456426, 'observed_rate': 0.031446540880503145}, {'bin': '0.2-0.4', 'n': 1, 'mean_prediction': 0.20674829360353253, 'observed_rate': 0.0}]",,,
